epoch,_step,_runtime,_timestamp,trainer/global_step,learning_rate,val/loss,val/gene_interaction/Pearson,val/gene_interaction/MSE,val_sample/Pearson_target_0,train_loss_epoch_mean
0.0,43,3995.601900212,1765832542.597478,294.0,,163780.734375,0.0004760750161949545,0.003967152908444405,,163930.85398706896
1.0,85,7408.016802537,1765835955.0122683,589.0,,12768.259765625,0.155309796333313,0.003862560959532857,,41500.95960286458
2.0,126,10828.447433739,1765839375.443033,884.0,,9676.9765625,0.3890931308269501,0.0033619662281125784,,11059.35122575431
3.0,168,14223.843454695,1765842770.8389628,1179.0,,8383.3798828125,0.402149498462677,0.003344384953379631,,8993.150260416667
4.0,209,17610.992897576,1765846157.9883468,1474.0,,7788.20068359375,0.4083191454410553,0.0033037716057151556,,8144.6107388200435
5.0,251,21000.765857131,1765849547.7611296,1769.0,,7288.90625,0.4117353558540344,0.0033050039783120155,,7613.613606770833
6.0,292,24386.259874774,1765852933.2554493,2064.0,,7015.8564453125,0.4178740084171295,0.0032691850792616606,,7199.3983364762935
7.0,334,27771.849756055,1765856318.8453774,2359.0,,6819.5869140625,0.4199460446834564,0.003269426990300417,,6968.995393880208
8.0,375,31155.731102216,1765859702.7265718,2654.0,,6601.708984375,0.42714744806289673,0.003257078118622303,,6749.702704067888
9.0,430,35922.409775783,1765864469.4050663,2949.0,,6501.30517578125,0.43460750579833984,0.0032446393743157387,,6580.765413411458
10.0,471,39308.701542011,1765867855.6969135,3244.0,,6410.85888671875,0.43207961320877075,0.003252595430240035,,6479.081475619612
11.0,513,42690.51960805,1765871237.5150843,3539.0,,6265.1591796875,0.4314318299293518,0.003249363275244832,,6358.891080729167
12.0,554,46072.728416306,1765874619.7238772,3834.0,,6191.50634765625,0.43973255157470703,0.0032346604857593775,,6258.148555360991
13.0,596,49462.601692814,1765878009.5971682,4129.0,,6131.65478515625,0.4465391933917999,0.0031778805423527956,,6184.014615885417
14.0,637,52850.389729569,1765881397.385149,4424.0,,6088.341796875,0.4518348276615143,0.003167062532156706,,6133.608516298491
15.0,679,56236.690729802,1765884783.6863794,4719.0,,6039.7177734375,0.45192334055900574,0.003174828365445137,,6082.870279947917
16.0,720,59620.331789445,1765888167.3272073,5014.0,,5984.99560546875,0.45416513085365295,0.0032303163316100836,,6034.209944100216
17.0,762,63007.261783963,1765891554.2573607,5309.0,,5947.5849609375,0.44993358850479126,0.003211856121197343,,5982.381689453125
18.0,803,66390.691203164,1765894937.6867213,5604.0,,5913.83056640625,0.45997849106788635,0.0032057559583336115,,5940.6638772898705
19.0,858,71159.765138401,1765899706.7604768,5899.0,,5885.76220703125,0.45154067873954773,0.0031911986880004406,,5909.221110026042
20.0,899,74544.636298019,1765903091.6318288,6194.0,,5861.35009765625,0.45308995246887207,0.0032449630089104176,,5884.3926791487065
21.0,941,77929.225672818,1765906476.221161,6489.0,,5830.005859375,0.45771515369415283,0.003188204253092408,,5856.223779296875
22.0,982,81313.612897552,1765909860.608482,6784.0,,5809.85009765625,0.45551732182502747,0.0032169437035918236,,5835.746144261853
23.0,1024,84698.354387668,1765913245.3498497,7079.0,,5795.6005859375,0.45849570631980896,0.0031710579060018063,,5813.575813802084
