epoch,_step,_runtime,_timestamp,trainer/global_step,learning_rate,train/loss,train/primary_loss,train/auxiliary_loss,val/loss,val/gene_interaction/Pearson,val/gene_interaction/MSE,val_sample/Pearson_target_0
,0,196.564974092,1757197656.5953255,,,,,,,,,
0.0,1,2011.654656616,1757199471.6846364,9.0,0.0010000000474974513,0.717963457107544,0.7111244797706604,0.02279653400182724,,,,
0.0,2,2638.059035931,1757200098.0892103,19.0,0.0010000000474974513,0.626372754573822,0.6193435788154602,0.023430459201335907,,,,
0.0,3,3267.39515809,1757200727.4255145,29.0,0.0010000000474974513,0.6192809343338013,0.6127343773841858,0.021821826696395874,,,,
0.0,4,3893.106480969,1757201353.1368804,39.0,0.0010000000474974513,0.5805571675300598,0.5738828182220459,0.02224794775247574,,,,
0.0,5,4519.055238864,1757201979.0851474,49.0,0.0010000000474974513,0.5923559665679932,0.5856161713600159,0.022465940564870834,,,,
0.0,6,5144.824301913,1757202604.853546,59.0,0.0010000000474974513,0.5956614017486572,0.5890042781829834,0.022190432995557785,,,,
0.0,7,5777.23374741,1757203237.2635756,69.0,0.0010000000474974513,0.5666658878326416,0.5599318742752075,0.022446557879447937,,,,
0.0,8,6401.969901555,1757203861.999197,79.0,0.0010000000474974513,0.5695570707321167,0.5629087686538696,0.022160910069942474,,,,
0.0,9,7028.045559568,1757204488.075402,89.0,0.0010000000474974513,0.5530000925064087,0.546522855758667,0.02159065380692482,,,,
0.0,10,7563.272649553,1757205023.303114,99.0,0.0010000000474974513,0.5547605752944946,0.5482149124145508,0.02181881107389927,,,,
0.0,11,8078.002877923,1757205538.0330353,109.0,0.0010000000474974513,0.5483572483062744,0.5416867733001709,0.022234968841075897,,,,
,12,9057.662213218,1757206517.6927109,,,,,,,,,
,13,9058.734835794,1757206518.7654295,,,,,,,,,
,14,9058.741467685,1757206518.7720068,,,,,,,,,-0.0019782050512731075
,15,9058.971543507,1757206519.0021167,,,,,,,,,
0.0,16,9058.979585798,1757206519.0100167,110.0,,,,,0.6154953837394714,-0.00015252713637892157,0.5763721466064453,
,17,9059.632947992,1757206519.6560605,,,,,,,,,
,18,9060.805468822,1757206520.8360474,,,,,,,,,
,19,9060.812942967,1757206520.843466,,,,,,,,,
,20,9061.026775413,1757206521.057412,,,,,,,,,
0.0,21,9074.079278927,1757206534.105446,110.0,,,,,,,,
1.0,22,10010.363147988,1757207470.393129,119.0,0.0010000000474974513,0.5292752981185913,0.5226576328277588,0.022058870643377304,,,,
1.0,23,10641.124294814,1757208101.1536872,129.0,0.0010000000474974513,0.526279091835022,0.5195278525352478,0.022504165768623352,,,,
1.0,24,11272.652478085,1757208732.68195,139.0,0.0010000000474974513,0.5228383541107178,0.5162290334701538,0.02203117497265339,,,,
1.0,25,11901.384705215,1757209361.4145882,149.0,0.0010000000474974513,0.5247000455856323,0.5182304382324219,0.02156529575586319,,,,
1.0,26,12529.461266707,1757209989.4908035,159.0,0.0010000000474974513,0.5122011303901672,0.5057880282402039,0.021376796066761017,,,,
1.0,27,13157.942295777,1757210617.9723487,169.0,0.0010000000474974513,0.5059704184532166,0.4994751811027527,0.021650874987244606,,,,
1.0,28,13787.740716506,1757211247.7711053,179.0,0.0010000000474974513,0.512834370136261,0.5062930583953857,0.02180427312850952,,,,
1.0,29,14417.739869797,1757211877.7702248,189.0,0.0010000000474974513,0.49591368436813354,0.48938241600990295,0.021770846098661423,,,,
1.0,30,15045.885131124,1757212505.9151304,199.0,0.0010000000474974513,0.47696760296821594,0.47056883573532104,0.021329157054424286,,,,
1.0,31,15595.041623418,1757213055.071425,209.0,0.0010000000474974513,0.47280436754226685,0.4663211405277252,0.021610742434859276,,,,
1.0,32,16114.422103793,1757213574.4523818,219.0,0.0010000000474974513,0.46962565183639526,0.4631838798522949,0.021472511813044548,,,,
,33,17136.050992105,1757214596.081531,,,,,,,,,
,34,17137.356319031,1757214597.3868866,,,,,,,,,
,35,17137.362462457,1757214597.3929894,,,,,,,,,-0.007345318794250488
,36,17137.579676636,1757214597.6103196,,,,,,,,,
1.0,37,17137.583111147,1757214597.6135764,221.0,,,,,0.47107329964637756,-0.009798099286854267,0.42689329385757446,
,38,17138.201125409,1757214598.2317088,,,,,,,,,
,39,17139.437158039,1757214599.4677112,,,,,,,,,
,40,17139.443502314,1757214599.4740436,,,,,,,,,
,41,17139.651234157,1757214599.6818185,,,,,,,,,
1.0,42,17152.449584638,1757214612.4753695,221.0,,,,,,,,
2.0,43,18026.371511771,1757215486.401301,229.0,0.0010000000474974513,0.4542141258716583,0.4476337134838104,0.021934691816568375,,,,
2.0,44,18655.073998364,1757216115.104179,239.0,0.0010000000474974513,0.46162211894989014,0.4551817774772644,0.02146795392036438,,,,
2.0,45,19281.479040426,1757216741.509048,249.0,0.0010000000474974513,0.4531615972518921,0.44667887687683105,0.021609202027320862,,,,
2.0,46,19908.61385007,1757217368.6441946,259.0,0.0010000000474974513,0.4427849352359772,0.43640050292015076,0.02128145471215248,,,,
2.0,47,20535.699390462,1757217995.72889,269.0,0.0010000000474974513,0.45192158222198486,0.4455106258392334,0.021369779482483864,,,,
2.0,48,21166.169072422,1757218626.198783,279.0,0.0010000000474974513,0.4295058250427246,0.4231511056423187,0.02118225023150444,,,,
2.0,49,21797.438393217,1757219257.4683154,289.0,0.0010000000474974513,0.4252963364124298,0.4190000295639038,0.020987574011087418,,,,
2.0,50,22423.236693861,1757219883.2666292,299.0,0.0010000000474974513,0.41778436303138733,0.4114478528499603,0.02112174965441227,,,,
2.0,51,23049.988815772,1757220510.0187423,309.0,0.0010000000474974513,0.4103308320045471,0.4041447639465332,0.020620236173272133,,,,
2.0,52,23606.406742325,1757221066.4365585,319.0,0.0010000000474974513,0.4078269600868225,0.4015291929244995,0.020992685109376907,,,,
2.0,53,24124.651852927,1757221584.6819959,329.0,0.0010000000474974513,0.4041534960269928,0.3978155255317688,0.021126454696059227,,,,
,54,25193.492165392,1757222653.5227373,,,,,,,,,
,55,25194.698760242,1757222654.7293396,,,,,,,,,
,56,25194.703968754,1757222654.7345507,,,,,,,,,-0.011690698564052582
,57,25194.910097243,1757222654.9406793,,,,,,,,,
2.0,58,25194.939521529,1757222654.9699962,332.0,,,,,1.097245454788208,-0.01840817742049694,1.0531338453292847,
,59,25195.629731646,1757222655.6602821,,,,,,,,,
,60,25196.80092113,1757222656.831547,,,,,,,,,
,61,25196.807590525,1757222656.8381505,,,,,,,,,
,62,25197.034534904,1757222657.0651546,,,,,,,,,
2.0,63,25206.713978492,1757222666.7369142,332.0,,,,,,,,
