batch_size,state_rows,step_wall_s,step_wall_s_profiled,forward_ms,backward_ms,aten_total,aten_leaf,leaf_forward,leaf_loss,leaf_backward,leaf_clip_grad,leaf_optimizer,distinct_ops,torch_version,cpu_model,num_threads,python_version,date,params_total,subsystems,dtype,device
2,119972,1.9055695276086528,10.506764916935936,957.238755,788.7188130000001,1053546,564316,124770,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
8,479888,2.222040346978853,12.354055333184078,1341.704482,902.2995660000001,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
32,1919552,2.9023793613693365,19.583192416932434,2353.71514,887.6398019999997,1782963,971110,531564,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
