cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,svr.kernel,svr.C,svr.gamma,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,val_r2_mean,val_r2_std,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,val_pearson_mean,val_pearson_std,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,val_spearman_mean,val_spearman_std,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,val_mse_mean,val_mse_std,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,val_mae_mean,val_mae_std,val_rmse,test_rmse,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,val_rmse_mean,val_rmse_std
False,10000,mean,['random_1000'],poly,10.0,0.1,7958.0,-12.644172002004092,-13.214163907146242,-0.005747961533683169,-0.05194368364958107,-0.0069846136800992146,-0.03606073966655969,0.5087360501275401,0.5125305245013921,0.27874417155339015,0.283824965896602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5279622823208019,0.532752255646658,,,,,,,,,,,,
False,10000,mean,['random_1000'],rbf,10.0,0.1,3358.0,-0.0057238416623177635,-0.0006370057425155728,0.4667666362867669,0.47023957137086875,0.4755854076183544,0.4981857134503502,0.10608263900807784,0.10962492001529818,0.02054647647467935,0.01998047622674184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14334042163562707,0.14135231242092164,,,,,,,,,,,,
False,10000,mean,['random_1000'],sigmoid,1.0,0.001,3368.0,-0.005981747700956719,-0.0009727269208472666,0.4655455104405467,0.4698010301562138,0.4751556154188056,0.4982606610067579,0.1061255082667498,0.109674322740915,0.020551745376674167,0.019987179825533385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1433587994392886,0.14137602280985764,,,,,,,,,,,,
False,10000,mean,['random_1000'],linear,1.0,0.001,3372.0,-0.00582803738096449,-0.0007935986314235866,0.4660839269136922,0.4710601986989951,0.4750600389727617,0.4996172272381988,0.10610780760735213,0.10965399151580432,0.020548605145387203,0.019983603035440847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14334784667160927,0.14136337232621768,,,,,,,,,,,,
False,10000,mean,['random_1000'],poly,1.0,0.001,3366.0,-0.006090312631980677,-0.0010174003213467842,0.4659146809290467,0.4691266924239667,0.4750385200874423,0.49819245064341666,0.10610832868633714,0.10965414756090772,0.020553963308385496,0.019988071853123335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14336653482729328,0.14137917757973886,,,,,,,,,,,,
False,10000,mean,['random_1000'],rbf,1.0,0.001,3360.0,-0.006145485116386684,-0.0010400788045707987,0.4659142831779271,0.46932098715610815,0.4751438811374421,0.4968663593585475,0.1060995666293598,0.10964385690103896,0.020555090456918657,0.01998852469155757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143370465776319,0.1413807790739518,,,,,,,,,,,,
False,10000,mean,['random_1000'],sigmoid,1.0,0.01,3362.0,-0.006146867387226029,-0.0010408518176188153,0.46363537506736263,0.4671487721475771,0.47408891250302815,0.49144303192031696,0.106099423670796,0.10964368600312316,0.020555118696077467,0.019988540126894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1433705642594653,0.14138083366175913,,,,,,,,,,,,
False,10000,mean,['random_1000'],linear,1.0,0.01,3372.0,-0.00582803738096449,-0.0007935986314235866,0.4660839269136922,0.4710601986989951,0.4750600389727617,0.4996172272381988,0.10610780760735213,0.10965399151580432,0.020548605145387203,0.019983603035440847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14334784667160927,0.14136337232621768,,,,,,,,,,,,
False,10000,mean,['random_1000'],poly,1.0,0.01,3368.0,-0.006055752930567593,-0.000981710407672809,0.466424595594134,0.4693508760084445,0.475373858565399,0.498256653179638,0.10610593052237156,0.10965142303463732,0.02055325726954795,0.019987359205612197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14336407245034563,0.14137665721614795,,,,,,,,,,,,
False,10000,mean,['random_1000'],sigmoid,1.0,0.1,3360.0,-0.0061450500290727295,-0.0010401261263590644,NaN,NaN,NaN,NaN,0.10609971690840855,0.10964403424044313,0.020555081568284533,0.01998852563646752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1433704347774831,0.14138078241567176,,,,,,,,,,,,
