cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,svr.kernel,svr.C,svr.gamma,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse
True,100000,sum,one_hot_gene,rbf,0.1,0.1,7816.0,0.744642865067314,0.7464800184648449,0.8928216496297995,0.895841376942281,0.895358101264787,0.8985567026765108,0.05344536464802285,0.0532439215515399,0.005492734407420504,0.0053945039792625375
True,100000,sum,one_hot_gene,linear,0.1,0.01,6978.0,0.7652996381293495,0.7690765651724136,0.8773016881979273,0.8795348376798507,0.8742341832872912,0.875966027028842,0.04711579817174609,0.04676761656310995,0.005048407021878568,0.004913685227251593
True,100000,sum,one_hot_gene,linear,0.1,0.001,6978.0,0.7652996381293495,0.7690765651724136,0.8773016881979273,0.8795348376798507,0.8742341832872912,0.875966027028842,0.04711579817174609,0.04676761656310995,0.005048407021878568,0.004913685227251593
True,100000,sum,one_hot_gene,linear,0.1,0.1,6978.0,0.7652996381293495,0.7690765651724136,0.8773016881979273,0.8795348376798507,0.8742341832872912,0.875966027028842,0.04711579817174609,0.04676761656310995,0.005048407021878568,0.004913685227251593
True,100000,sum,one_hot_gene,sigmoid,10.0,0.01,6990.0,0.764974098525315,0.7687443879724789,0.8770790053066232,0.8793100636580802,0.8740492117831664,0.8757311715241195,0.04712584318763936,0.046792977162015595,0.0050554093818656115,0.004920753432353285
True,100000,sum,one_hot_gene,rbf,10.0,0.001,8596.0,0.7345645383100836,0.7376456208761393,0.873892910424534,0.8765667149439657,0.8718396073405077,0.8745037039419901,0.05238267125013583,0.05226045514001761,0.005709519312072798,0.005582485978385757
True,100000,sum,one_hot_gene,sigmoid,0.1,0.1,10937.0,0.6906814370061456,0.6929868202121512,0.8614104229745897,0.8645135225879484,0.8594726327265056,0.8615526113214977,0.05813107721978581,0.0582786451253011,0.0066534452395782115,0.006532754578249823
True,100000,sum,calm,rbf,1.0,0.1,14357.0,0.6612602427994829,0.6627184669091362,0.8253080246975333,0.8264540280687965,0.8067756773473307,0.8026316602490259,0.06256434236347831,0.06296324768926506,0.007286295407516287,0.007176817232996415
False,10000,sum,one_hot_gene,poly,0.1,0.01,1241.0,0.6844686366895353,0.7060851344487264,0.8311861156636674,0.8436998270195687,0.8059688356691062,0.8033979883041071,0.05415958363640855,0.05541344334915697,0.006446160928795719,0.005868820511465647
True,100000,sum,calm,rbf,0.1,0.1,15569.0,0.6052682341964064,0.6065896953890971,0.8026479145997568,0.8046481311944637,0.8002728305386984,0.7961347344467076,0.06730826641654782,0.06774835602356137,0.008490684046493521,0.008371148659980926
True,10000,sum,one_hot_gene,linear,10.0,0.01,1291.0,0.6437406026056411,0.6648668170879006,0.8228294993695182,0.8336757416875201,0.7967901069537877,0.793302073858397,0.05959056981885789,0.060917790790840025,0.00727821597164081,0.006691857842094014
True,10000,sum,one_hot_gene,linear,10.0,0.001,,0.6437406026056411,0.6648668170879006,0.8228294993695182,0.8336757416875201,0.7967901069537877,0.793302073858397,0.05959056981885789,0.060917790790840025,0.00727821597164081,0.006691857842094014
