order,n,n_wt_like,n_intermediate,n_lethal,frac_wt_like,frac_intermediate,frac_lethal,n_status_optimal
single,4036,3943,27,66,0.9769573835480674,0.006689791873141724,0.01635282457879088,4036
double,651181,631368,5624,14189,0.9695737437056671,0.008636615626070172,0.021789640668262743,651181
triple,332313,309526,6511,16276,0.9314291044888403,0.019592974093700817,0.04897792141745884,332313
