n_in_model,n_triples,n_tau_nonzero,frac_triples,frac_tau_nonzero_within
0,220392,0,0.6632060737918769,0.0
1,65214,164,0.196242698901337,0.0025147974361333456
2,39288,19,0.1182258894475991,0.0004836082264304622
3,7419,48,0.022325337859186972,0.00646987464617873
