seed_gene,seed_orf,class,graph,k,n_reached,n_metabolic,n_on_locus,n_reactions_touched,n_reactions_off_locus,share_off_locus,out_degree
YAL054C,YAL054C,adjacent enzyme,physical,2,4106,850,13,1904,1840,0.9663865546218487,20
YAL054C,YAL054C,adjacent enzyme,physical,3,5713,1156,13,2707,2643,0.9763575914296269,20
YAR035W,YAR035W,adjacent enzyme,physical,1,8,2,0,3,3,1.0,8
YAR035W,YAR035W,adjacent enzyme,physical,2,4807,907,12,2220,2160,0.972972972972973,8
YAR035W,YAR035W,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,8
YBL011W,YBL011W,adjacent enzyme,physical,1,28,4,2,30,20,0.6666666666666666,28
YBL011W,YBL011W,adjacent enzyme,physical,2,4271,816,11,2194,2142,0.9762989972652689,28
YBL011W,YBL011W,adjacent enzyme,physical,3,5715,1157,13,2709,2645,0.976375046142488,28
YBR029C,YBR029C,adjacent enzyme,physical,1,13,1,0,1,1,1.0,13
YBR029C,YBR029C,adjacent enzyme,physical,2,4822,951,11,2344,2306,0.9837883959044369,13
YBR029C,YBR029C,adjacent enzyme,physical,3,5716,1157,13,2695,2631,0.976252319109462,13
YBR041W,YBR041W,adjacent enzyme,physical,1,28,17,3,119,97,0.8151260504201681,28
YBR041W,YBR041W,adjacent enzyme,physical,2,1932,482,9,1663,1626,0.9777510523150932,28
YBR041W,YBR041W,adjacent enzyme,physical,3,5703,1150,13,2696,2632,0.9762611275964391,28
YBR042C,YBR042C,adjacent enzyme,physical,1,17,1,0,2,2,1.0,17
YBR042C,YBR042C,adjacent enzyme,physical,2,4691,976,13,2517,2453,0.9745729042510926,17
YBR042C,YBR042C,adjacent enzyme,physical,3,5715,1157,13,2707,2643,0.9763575914296269,17
YBR159W,YBR159W,adjacent enzyme,physical,1,134,51,2,202,198,0.9801980198019802,134
YBR159W,YBR159W,adjacent enzyme,physical,2,5258,1055,13,2583,2519,0.9752226093689508,134
YBR159W,YBR159W,adjacent enzyme,physical,3,5718,1157,13,2702,2638,0.9763138415988157,134
YBR204C,YBR204C,adjacent enzyme,physical,1,4,0,0,0,0,,4
YBR204C,YBR204C,adjacent enzyme,physical,2,4238,837,10,2099,2063,0.9828489757027156,4
YBR204C,YBR204C,adjacent enzyme,physical,3,5716,1156,13,2709,2645,0.976375046142488,4
YBR208C,YBR208C,adjacent enzyme,physical,1,20,2,0,2,2,1.0,20
YBR208C,YBR208C,adjacent enzyme,physical,2,5002,993,10,2431,2395,0.9851912793089264,20
YBR208C,YBR208C,adjacent enzyme,physical,3,5718,1157,13,2707,2643,0.9763575914296269,20
YBR218C,YBR218C,adjacent enzyme,physical,1,27,2,0,2,2,1.0,27
YBR218C,YBR218C,adjacent enzyme,physical,2,5109,1040,11,2505,2467,0.9848303393213573,27
YBR218C,YBR218C,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,27
YCR048W,YCR048W,adjacent enzyme,physical,1,30,2,0,9,9,1.0,30
YCR048W,YCR048W,adjacent enzyme,physical,2,5074,1023,10,2508,2472,0.9856459330143541,30
YCR048W,YCR048W,adjacent enzyme,physical,3,5718,1157,13,2701,2637,0.9763050721954831,30
YCR068W,YCR068W,adjacent enzyme,physical,1,8,1,0,1,1,1.0,8
YCR068W,YCR068W,adjacent enzyme,physical,2,4516,894,11,2426,2384,0.9826875515251443,8
YCR068W,YCR068W,adjacent enzyme,physical,3,5713,1155,13,2706,2642,0.9763488543976349,8
YDL015C,YDL015C,adjacent enzyme,physical,1,56,17,4,57,48,0.8421052631578947,56
YDL015C,YDL015C,adjacent enzyme,physical,2,3249,752,10,2075,2037,0.9816867469879518,56
YDL015C,YDL015C,adjacent enzyme,physical,3,5709,1155,13,2702,2638,0.9763138415988157,56
YDL040C,YDL040C,adjacent enzyme,physical,1,78,2,0,1,1,1.0,78
YDL040C,YDL040C,adjacent enzyme,physical,2,5209,1049,11,2574,2520,0.9790209790209791,78
YDL040C,YDL040C,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,78
YDL141W,YDL141W,adjacent enzyme,physical,1,14,0,0,0,0,,14
YDL141W,YDL141W,adjacent enzyme,physical,2,4649,957,11,2147,2109,0.9823008849557522,14
YDL141W,YDL141W,adjacent enzyme,physical,3,5715,1157,13,2708,2644,0.9763663220088626,14
YDR071C,YDR071C,adjacent enzyme,physical,1,47,1,0,2,2,1.0,47
YDR071C,YDR071C,adjacent enzyme,physical,2,5371,1090,12,2638,2592,0.9825625473843821,47
YDR071C,YDR071C,adjacent enzyme,physical,3,5718,1157,13,2708,2644,0.9763663220088626,47
YDR256C,YDR256C,adjacent enzyme,physical,1,20,0,0,0,0,,20
YDR256C,YDR256C,adjacent enzyme,physical,2,5376,1068,11,2555,2513,0.9835616438356164,20
YDR256C,YDR256C,adjacent enzyme,physical,3,5718,1157,13,2708,2644,0.9763663220088626,20
YEL066W,YEL066W,adjacent enzyme,physical,1,10,0,0,0,0,,10
YEL066W,YEL066W,adjacent enzyme,physical,2,4453,901,10,2312,2276,0.9844290657439446,10
YEL066W,YEL066W,adjacent enzyme,physical,3,5713,1155,13,2707,2643,0.9763575914296269,10
YER024W,YER024W,adjacent enzyme,physical,1,15,1,0,1,1,1.0,15
YER024W,YER024W,adjacent enzyme,physical,2,4602,862,6,2207,2162,0.9796103307657453,15
