orf,self_value,self_rank,n_genes,self_present,version
YNL142W,-2.161999636456979,1.0,6169,True,kemmeren
YNL210W,0.036493634275019955,3736.0,6169,True,kemmeren
YFR030W,-2.661703690738878,1.0,6169,True,kemmeren
YIR017C,-2.2101845702470273,1.0,6169,True,kemmeren
YPL038W,-1.394363624640437,3.0,6169,True,kemmeren
YDR253C,-0.8103531030473008,9.0,6169,True,kemmeren
YPL187W,-5.261686425975127,1.0,6169,True,kemmeren
YGL089C,-5.222331342579307,1.0,6169,True,kemmeren
YGR249W,-0.4792156896721259,29.0,6169,True,kemmeren
YNL218W,-2.4658733909082224,1.0,6169,True,kemmeren
YFR019W,-4.333774900236025,1.0,6169,True,kemmeren
YPL055C,-3.536459253957288,1.0,6169,True,kemmeren
YDL200C,-2.5020524875891095,1.0,6169,True,kemmeren
YLL062C,-1.0344707347823436,2.0,6169,True,kemmeren
YGL209W,-3.196415568327123,1.0,6169,True,kemmeren
YER028C,-2.8197783605106492,1.0,6169,True,kemmeren
YOR330C,-2.119682204144476,6.0,6169,True,kemmeren
YHR015W,-1.4486781743113082,1.0,6169,True,kemmeren
YMR167W,-1.2425681085595128,2.0,6169,True,kemmeren
YLR035C,-1.4920678751912257,2.0,6169,True,kemmeren
YPL164C,-0.8529274494291725,5.0,6169,True,kemmeren
YKR095W,-3.0154257200534627,1.0,6169,True,kemmeren
YPR070W,-3.14148374664112,1.0,6169,True,kemmeren
YIL149C,-1.8951167733079006,2.0,6169,True,kemmeren
YGL087C,-2.9883270601987078,1.0,6169,True,kemmeren
YMR177W,-1.741744535968465,2.0,6169,True,kemmeren
YIR025W,-2.4688127330967653,1.0,6169,True,kemmeren
YIR002C,-1.9067468247278647,2.0,6169,True,kemmeren
YNR024W,-3.1692541938362924,1.0,6169,True,kemmeren
YGL178W,-2.940473225752567,1.0,6169,True,kemmeren
YDR033W,-4.692928541878208,1.0,6169,True,kemmeren
YLR219W,-2.0113046658280305,1.0,6169,True,kemmeren
YOR354C,-3.733623003570659,1.0,6169,True,kemmeren
YOL051W,-3.497564722681518,2.0,6169,True,kemmeren
YCR092C,-2.390505676918456,1.0,6169,True,kemmeren
YDL154W,-1.798107985751433,1.0,6169,True,kemmeren
YDR097C,0.13694315181250638,5282.0,6169,True,kemmeren
YIR009W,-0.05976428481460922,1318.0,6169,True,kemmeren
YOL116W,-2.3743290758864912,1.0,6169,True,kemmeren
YMR164C,-1.9507042511254427,1.0,6169,True,kemmeren
YGR206W,-2.8276460095272276,1.0,6169,True,kemmeren
YML117W,-1.9815856246448558,2.0,6169,True,kemmeren
YGR232W,-4.42756502434061,1.0,6169,True,kemmeren
YMR069W,-0.29582478319443123,122.0,6169,True,kemmeren
YNL236W,-2.8159936422914265,3.0,6169,True,kemmeren
YPR155C,-1.5505816081444697,2.0,6169,True,kemmeren
