Dataset,N,Mean,Median,Std,Min,Max,Q1,Q3,Outliers,Outliers %
Exp 006,332313,-0.009886621474332932,-0.009854,0.06205472717767029,-1.0816,1.128043,-0.037695,0.020609,17108,5.148158513208933
Exp 009,299146,-0.005185859969713786,-0.006208,0.06069284243579297,-1.079823,1.128043,-0.03384075,0.02480975,14149,4.729797490188737
Exp 010,376732,-0.008024323598529868,-0.008573,0.06326354851937385,-1.0816,1.128043,-0.036898,0.022975,19452,5.1633521973179874
Exp 011,78019,-0.01888717464320255,-0.017725,0.07129868691062537,-1.0816,1.041722,-0.049071000000000004,0.012582,5629,7.214909188787347
